# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	14618
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=2 d=0.952922 t=14618
chuang xin xing 	创新性	c=5 d=2.67397 t=14618
chuang ye 	创业	c=0 d=0.0852144 t=14618
chuang zao 	创造	c=2 d=0.913931 t=14618
chuang zao le 	创造了	c=3 d=2.33187 t=14618
chuang zao xing 	创造性	c=4 d=1.76061 t=14618
chuang zuo zhe 	创作者	c=1 d=0.878095 t=14618
chun 	蠢	c=1 d=0.980199 t=14618
ci 	次	c=2 d=1.37943 t=14618
ci 	词	c=1 d=0.904837 t=14618
ci chang 	磁场	c=3 d=2.7694 t=14618
ci ci 	此次	c=1 d=0.810584 t=14618
ci dao lv 	磁导率	c=1 d=0.97531 t=14618
ci pan 	磁盘	c=23 d=12.0973 t=14618
ci pan guan li 	磁盘管理	c=1 d=0.860708 t=14618
ci shan 	慈善	c=0 d=0.0869358 t=14618
ci shan xin tuo 	慈善信托	c=1 d=0.873716 t=14618
ci shi 	此时	c=2 d=1.54601 t=14618
ci shu 	次数	c=1 d=0.985112 t=14618
cong 	从	c=14 d=4.24502 t=14618
cong ge ren 	从个人	c=1 d=0.631284 t=14618
cong ming 	聪明	c=1 d=0.67368 t=14618
cong tu shang 	从图上	c=1 d=0.88692 t=14618
cong wo 	从我	c=3 d=1.64039 t=14618
cong xiao 	从小	c=1 d=0.818764 t=14618
cong xiao da dao 	从小达到	c=1 d=0.839457 t=14618
cong xiao xue 	从小学	c=0 d=0.0831104 t=14618
cong xiao xue dao 	从小学到	c=1 d=0.83527 t=14618
cu jin 	促进	c=1 d=0.559898 t=14618
cu lve 	粗略	c=1 d=0.918512 t=14618
cuan gai 	篡改	c=1 d=0.869358 t=14618
cun 	存	c=1 d=0.88692 t=14618
cun dang 	存档	c=1 d=1.099 t=14618
cun dang wei zhi 	存档位置	c=1 d=1 t=14618
cun ru 	存入	c=1 d=0.826959 t=14618
cun zai 	存在	c=1 d=0.88692 t=14618
cun zai ma 	存在吗	c=1 d=1 t=14618
cun zhi 	寸止	c=1 d=1 t=14618
cuo 	错	c=1 d=0.913931 t=14618
cuo ba 	错把	c=1 d=0.839457 t=14618
cuo shi 	措施	c=2 d=1.14546 t=14618
cuo wei 	错位	c=2 d=1.19232 t=14618
cuo wu 	错误	c=5 d=3.12505 t=14618
da 	哒	c=1 d=0.860708 t=14618
da 	大	c=11 d=3.22161 t=14618
da 	打	c=4 d=2.1619 t=14618
da 	搭	c=1 d=0.763379 t=14618
da 	达	c=1 d=0.951229 t=14618
da an 	答案	c=2 d=1.89037 t=14618
da bao 	打包	c=1 d=0.970446 t=14618
da bao ku 	大宝库	c=1 d=0.878095 t=14618
da bao zha 	大爆炸	c=1 d=0.509156 t=14618
da bu fen 	大部分	c=4 d=1.85247 t=14618
da bu kai 	打不开	c=5 d=4.18031 t=14618
da che qu 	打车去	c=1 d=0.806541 t=14618
da cheng 	达成	c=1 d=0.637628 t=14618
da cheng le 	达成了	c=1 d=0.802519 t=14618
da chu lai 	打出来	c=1 d=0.960789 t=14618
da dan 	大胆	c=4 d=2.22273 t=14618
da dao 	达到	c=3 d=2.25641 t=14618
da dao zhi jian 	大道至简	c=1 d=0.852144 t=14618
da de 	大的	c=1 d=0.843665 t=14618
da de 	打的	c=0 d=0.0873716 t=14618
da de cai 	打的菜	c=2 d=1.82458 t=14618
da di 	大帝	c=1 d=0.644036 t=14618
da di shang 	大地上	c=1 d=0.477114 t=14618
da dong men 	大东门	c=2 d=1.5772 t=14618
da er duo 	大耳朵	c=1 d=0.97531 t=14618
da feng jiang wen 	大风降温	c=0 d=0.0913931 t=14618
da feng jiang wen pao 	大风降温跑	c=1 d=0.918512 t=14618
da fo 	大佛	c=1 d=0.774916 t=14618
da gai 	大概	c=2 d=1.16883 t=14618
da ge 	打个	c=1 d=0.895834 t=14618
da jia 	大家	c=1 d=0.683861 t=14618
da jiang tang 	大讲堂	c=0 d=0.0348192 t=14618
da jiang tang hou 	大讲堂后	c=1 d=0.349938 t=14618
da ju yuan 	大剧院	c=4 d=1.38309 t=14618
da kai 	打开	c=30 d=12.0704 t=14618
da ku 	大库	c=1 d=0.843665 t=14618
da lao 	大佬	c=2 d=0.634448 t=14618
da le 	打了	c=2 d=1.29947 t=14618
da men 	大门	c=1 d=0.806541 t=14618
da nao 	大脑	c=1 d=0.852144 t=14618
da po le 	打破了	c=2 d=1.46232 t=14618
da qi ye 	大企业	c=1 d=0.644036 t=14618
da quan 	大全	c=1 d=0.941765 t=14618
da san 	大三	c=5 d=3.71155 t=14618
da shi 	大师	c=2 d=1.07933 t=14618
da shuai ge 	大帅哥	c=0 d=0.0895834 t=14618
da si 	大四	c=1 d=0.650509 t=14618
da ti 	大题	c=2 d=1.94128 t=14618
da ti 	答题	c=1 d=0.946485 t=14618
da ting 	打听	c=1 d=0.265803 t=14618
da wang 	大王	c=1 d=0.869358 t=14618
da xia le 	打下了	c=1 d=0.519442 t=14618
da xiang 	大象	c=1 d=0.873716 t=14618
da xiao 	大小	c=7 d=5.26635 t=14618
da xing 	大型	c=1 d=0.597501 t=14618
da xue 	大学	c=13 d=6.76185 t=14618
da xue sheng 	大学生	c=9 d=4.02007 t=14618
da xue yuan 	大学圆	c=1 d=0.315058 t=14618
da yin 	打印	c=1 d=0.918512 t=14618
da ying le 	答应了	c=1 d=0.869358 t=14618
da you xi 	打游戏	c=1 d=0.818731 t=14618
da yu 	大于	c=2 d=1.21593 t=14618
da yu hao 	大于号	c=1 d=0.810584 t=14618
da yue 	大悦	c=0 d=0.0918512 t=14618
da yue cheng 	大悦城	c=1 d=0.923116 t=14618
da zao 	打造	c=1 d=0.891366 t=14618
da zhe 	打折	c=1 d=0.995012 t=14618
da zuo ye 	大作业	c=2 d=1.66229 t=14618
dai 	代	c=2 d=1.55064 t=14618
dai 	带	c=2 d=1.72664 t=14618
dai biao 	代表	c=2 d=0.665831 t=14618
dai dai wo a 	带带我啊	c=1 d=1 t=14618
dai ge 	带个	c=1 d=1 t=14618
dai huai 	带坏	c=1 d=0.767206 t=14618
dai jia 	代价	c=1 d=0.818731 t=14618
dai lai 	带来	c=0 d=0.0585669 t=14618
dai lai de 	带来的	c=1 d=0.588605 t=14618
dai ma 	代码	c=11 d=3.73537 t=14618
dai ma kua 	代码跨	c=1 d=0.960789 t=14618
dai ma kuai 	代码块	c=0 d=0.097531 t=14618
dai ma kuai li 	代码块里	c=1 d=0.980199 t=14618
dai ni 	带你	c=1 d=0.778801 t=14618
dai qi 	带起	c=1 d=0.932394 t=14618
dai ru 	代入	c=0 d=0.0891366 t=14618
dai ru zhi 	代入值	c=1 d=0.895834 t=14618
dai ti 	代替	c=3 d=1.81349 t=14618
dai wa 	带娃	c=4 d=2.93131 t=14618
dan 	丹	c=1 d=0.831104 t=14618
dan 	但	c=78 d=10.3441 t=14618
dan 	单	c=2 d=1.90331 t=14618
dan ci 	单词	c=10 d=5.83871 t=14618
dan ci jian 	单词间	c=2 d=1.44909 t=14618
dan du 	单独	c=1 d=0.344728 t=14618
dan gao 	蛋糕	c=1 d=0.985112 t=14618
dan hai shi 	但还是	c=1 d=0.904837 t=14618
dan hai shi you 	但还是有	c=1 d=0.985112 t=14618
dan ren 	担任	c=1 d=0.186374 t=14618
dan se 	单色	c=1 d=0.980199 t=14618
dan shi 	但是	c=9 d=3.5237 t=14618
dan wei 	单位	c=8 d=3.56923 t=14618
dan wei shi jian 	单位时间	c=1 d=0.923116 t=14618
dan wo 	但我	c=8 d=2.8057 t=14618
dan wo men 	但我们	c=1 d=0.923116 t=14618
dan xin 	担心	c=2 d=0.712287 t=14618
dan ye 	但也	c=1 d=0.927743 t=14618
dan yi 	单一	c=1 d=0.951229 t=14618
dan zai 	但在	c=1 d=0.955997 t=14618
dan zhe zhong 	但这种	c=1 d=0.806541 t=14618
dang 	党	c=1 d=0.701173 t=14618
dang 	当	c=12 d=4.73011 t=14618
dang chu 	当初	c=2 d=0.860433 t=14618
dang ge 	当个	c=1 d=0.847894 t=14618
dang qian 	当前	c=6 d=2.98327 t=14618
dang ran 	当然	c=1 d=0.657047 t=14618
dang shi 	当时	c=2 d=1.31188 t=14618
dao 	倒	c=1 d=0.818731 t=14618
dao 	到	c=31 d=7.60656 t=14618
dao chu wei 	导出为	c=1 d=0.946485 t=14618
dao de 	到的	c=1 d=1 t=14618
dao di zai 	到底在	c=1 d=0.856415 t=14618
dao dian lv 	导电率	c=1 d=0.729789 t=14618
dao le 	到了	c=4 d=1.21392 t=14618
dao li 	道理	c=3 d=1.17739 t=14618
dao li ma 	道理吗	c=1 d=0.597501 t=14618
dao lu 	道路	c=3 d=2.05445 t=14618
dao mei 	倒霉	c=1 d=0.869358 t=14618
dao shi 	倒是	c=1 d=0.955997 t=14618
dao shu 	导数	c=3 d=1.96979 t=14618
dao ti 	导体	c=5 d=3.74051 t=14618
dao ti nei 	导体内	c=1 d=0.932394 t=14618
dao zhi 	导致	c=1 d=0.909299 t=14618
dao zhi de 	导致的	c=2 d=1.54572 t=14618
dao zhi le 	导致了	c=1 d=0.65377 t=14618
de 	地	c=20 d=4.04909 t=14618
de 	得	c=3 d=1.99731 t=14618
de 	的	c=672 d=30.5203 t=14618
de dao 	得到	c=4 d=1.35247 t=14618
de hua 	的话	c=1 d=0.923116 t=14618
de ming 	得名	c=1 d=0.97531 t=14618
de pu 	德普	c=1 d=0.304221 t=14618
de wen jian 	的文件	c=1 d=0.694197 t=14618
de yuan yin 	的原因	c=1 d=0.995012 t=14618
dei 	得	c=5 d=2.62327 t=14618
deng 	灯	c=2 d=1.9459 t=14618
deng 	登	c=3 d=2.00383 t=14618
deng 	等	c=25 d=5.07836 t=14618
deng bi shu lie 	等比数列	c=1 d=0.995012 t=14618
deng dai 	等待	c=1 d=0.923116 t=14618
deng deng 	等等	c=2 d=1.05188 t=14618
deng guang 	灯光	c=1 d=0.909373 t=14618
deng jia 	等价	c=1 d=0.365459 t=14618
deng jia le 	等价了	c=1 d=0.882497 t=14618
deng jia wei 	等价为	c=1 d=0.946485 t=14618
deng jiang 	等奖	c=1 d=0.215456 t=14618
deng lu 	登录	c=4 d=2.65389 t=14618
deng lu bu shang 	登录不上	c=1 d=1 t=14618
deng wo 	等我	c=1 d=0.970446 t=14618
deng wo da wan 	等我打完	c=1 d=0.970446 t=14618
deng yu 	等于	c=7 d=2.96664 t=14618
di 	低	c=1 d=1 t=14618
di 	弟	c=1 d=0.955997 t=14618
di 	第	c=1 d=0.878095 t=14618
di ba 	第八	c=0 d=0.0336216 t=14618
di ba ti 	第八题	c=2 d=0.740427 t=14618
di biao 	地标	c=2 d=1.92218 t=14618
di biao 	地表	c=1 d=0.932394 t=14618
di chao qi 	低潮期	c=2 d=0.661322 t=14618
di dao 	地道	c=1 d=0.985112 t=14618
di duan 	地段	c=1 d=0.932394 t=14618
di er ci 	第二次	c=1 d=0.847894 t=14618
di er ge 	第二个	c=2 d=1.53186 t=14618
di er zhang 	第二章	c=1 d=0.941765 t=14618
di fang 	地方	c=5 d=3.11692 t=14618
di gui 	递归	c=2 d=1.82398 t=14618
di he 	缔合	c=1 d=0.951229 t=14618
di ke 	迪克	c=1 d=0.891366 t=14618
di liu 	第六	c=0 d=0.0946485 t=14618
di liu ti 	第六题	c=1 d=0.951229 t=14618
di liu zhang 	第六章	c=1 d=0.579842 t=14618
di neng 	低能	c=0 d=0.0856415 t=14618
di neng ji 	低能级	c=1 d=0.860708 t=14618
di qi ban 	第七版	c=1 d=1 t=14618
di san ci 	第三次	c=1 d=0.995012 t=14618
di shi yi 	第十一	c=0 d=0.0358796 t=14618
di shi yi ti 	第十一题	c=1 d=0.360595 t=14618
di si ke 	迪斯科	c=2 d=1.6441 t=14618
di tie 	地铁	c=0 d=0.0733447 t=14618
di tie lai 	地铁来	c=1 d=0.737123 t=14618
di wu zhang 	第五章	c=1 d=0.955997 t=14618
di yi 	第一	c=0 d=0.0985112 t=14618
di yi chang 	第一场	c=1 d=0.729789 t=14618
di yi ci 	第一次	c=4 d=2.22315 t=14618
di yi ge 	第一个	c=2 d=1.90284 t=14618
di yi guan 	第一关	c=0 d=0.0955997 t=14618
di yi ti 	第一题	c=1 d=0.23457 t=14618
di yi tian 	第一天	c=1 d=0.839457 t=14618
di yun 	底蕴	c=1 d=0.447088 t=14618
di zhi 	地址	c=1 d=0.965605 t=14618
di zhi lan 	地址栏	c=1 d=0.822835 t=14618
dian 	点	c=11 d=3.89675 t=14618
dian 	电	c=2 d=1.68729 t=14618
dian chang 	电场	c=3 d=2.84496 t=14618
dian cheng 	点乘	c=1 d=0.99005 t=14618
dian chi 	电池	c=4 d=3.39238 t=14618
dian ci 	电磁	c=5 d=3.47952 t=14618
dian ci bo 	电磁波	c=6 d=4.26074 t=14618
dian ci bo pu 	电磁波谱	c=1 d=0.955997 t=14618
dian ci chang 	电磁场	c=5 d=3.3455 t=14618
dian ci xue 	电磁学	c=1 d=0.965605 t=14618
dian di 	垫底	c=1 d=0.900325 t=14618
dian dian he 	点电荷	c=1 d=0.941765 t=14618
dian dong 	电动	c=4 d=3.68278 t=14618
dian dong li xue 	电动力学	c=7 d=3.79545 t=14618
dian gu 	典故	c=1 d=0.955997 t=14618
dian he 	电荷	c=4 d=2.44193 t=14618
dian hua 	电话	c=1 d=0.585669 t=14618
dian li 	电离	c=1 d=1 t=14618
dian liu 	电流	c=1 d=0.937067 t=14618
dian liu mi du 	电流密度	c=1 d=0.99005 t=14618
dian lu 	电路	c=1 d=0.548812 t=14618
dian nao 	电脑	c=8 d=2.70758 t=14618
dian shi cha 	电势差	c=2 d=1.89771 t=14618
dian xian 	电线	c=2 d=1.86084 t=14618
dian xian 	癫痫	c=1 d=0.900325 t=14618
dian xin 	电信	c=5 d=4.15282 t=14618
dian xin hao 	电信号	c=1 d=0.980199 t=14618
dian yuan 	电源	c=2 d=1.79256 t=14618
dian zi 	电子	c=4 d=1.91813 t=14618
dian zi ban 	电子版	c=1 d=0.524663 t=14618
diao 	掉	c=9 d=7.24577 t=14618
diao cha 	调查	c=2 d=0.865859 t=14618
diao wang ka 	掉网卡	c=1 d=0.985112 t=14618
diao yan 	调研	c=6 d=3.78346 t=14618
diao zha tian 	吊炸天	c=1 d=0.810584 t=14618
die dai 	迭代	c=3 d=1.56044 t=14618
die dai wu da dai wa 	迭代五大带娃	c=1 d=0.970446 t=14618
die zhi 	叠纸	c=1 d=0.752014 t=14618
ding 	丁	c=1 d=0.666977 t=14618
ding jian 	顶尖	c=1 d=0.847894 t=14618
ding li 	定理	c=2 d=1.72036 t=14618
ding li xiang 	丁黎翔	c=1 d=0.985112 t=14618
ding liang zhu 	顶梁柱	c=1 d=0.715338 t=14618
ding lv 	定律	c=1 d=0.923116 t=14618
ding yi 	定义	c=3 d=2.79015 t=14618
ding yi yu 	定义域	c=2 d=1.15021 t=14618
dong 	动	c=2 d=1.44761 t=14618
dong 	懂	c=1 d=0.923116 t=14618
dong feng po 	东风破	c=1 d=0.995012 t=14618
dong guo 	动过	c=1 d=0.97531 t=14618
dong li 	动力	c=0 d=0.0506617 t=14618
dong li xu ye 	动力需也	c=1 d=0.509156 t=14618
dong li xue 	动力学	c=4 d=2.3737 t=14618
dong li xue yue 	动力学越	c=1 d=0.511709 t=14618
dong ling ying 	冬令营	c=6 d=2.96755 t=14618
dong man 	动漫	c=3 d=2.86119 t=14618
dong man tu 	动漫图	c=1 d=0.965605 t=14618
dong men 	东门	c=2 d=1.51547 t=14618
dong mian 	冬眠	c=1 d=1 t=14618
dong tai 	动态	c=2 d=1.52823 t=14618
dong tai bi zhi 	动态壁纸	c=3 d=2.11147 t=14618
dong xi 	东西	c=3 d=1.85702 t=14618
dong zuo 	动作	c=1 d=0.873716 t=14618
dou 	豆	c=1 d=0.985112 t=14618
dou 	都	c=27 d=6.00373 t=14618
dou ban 	豆瓣	c=1 d=1 t=14618
dou bian da 	都变大	c=1 d=0.980199 t=14618
dou bu hui 	都不会	c=1 d=0.774916 t=14618
dou bu shi 	都不是	c=1 d=0.831104 t=14618
dou bu xing 	都不行	c=1 d=0.909373 t=14618
dou guai 	都怪	c=1 d=0.759572 t=14618
dou hao wan 	都好玩	c=1 d=0.99005 t=14618
dou hen 	都很	c=1 d=0.97531 t=14618
dou hui 	都会	c=1 d=0.99005 t=14618
dou ke yi 	都可以	c=1 d=0.67032 t=14618
dou mei 	都没	c=1 d=0.546074 t=14618
dou mei yong 	都没用	c=1 d=0.869358 t=14618
dou mei you 	都没有	c=1 d=1 t=14618
dou shi 	都是	c=4 d=3.16314 t=14618
dou tang fan 	豆汤饭	c=2 d=1.76942 t=14618
dou xing 	都行	c=1 d=0.26054 t=14618
dou yao 	都要	c=1 d=0.826959 t=14618
dou yao xi jiang 	都要细讲	c=1 d=1 t=14618
dou yi 	都以	c=1 d=0.677057 t=14618
dou zai 	都在	c=1 d=0.704688 t=14618
dou zhu 	都住	c=1 d=0.71177 t=14618
du 	度	c=3 d=1.68719 t=14618
du 	读	c=0 d=0.0995012 t=14618
du 	赌	c=1 d=0.960789 t=14618
du jiao shou 	独角兽	c=3 d=2.52466 t=14618
du li 	独立	c=1 d=0.748264 t=14618
du li wei yu 	独立卫浴	c=1 d=0.818731 t=14618
du te 	独特	c=2 d=1.04345 t=14618
du wei 	独卫	c=1 d=0.806541 t=14618
du xian 	独显	c=5 d=3.72062 t=14618
du xian zhi lian 	独显直连	c=1 d=0.882497 t=14618
du xie 	读写	c=2 d=1.92688 t=14618
du yi wu er 	独一无二	c=1 d=0.927743 t=14618
duan 	短	c=2 d=1.88957 t=14618
duan de 	短的	c=1 d=0.831104 t=14618
duan dian 	断电	c=1 d=0.440432 t=14618
duan dian 	端点	c=2 d=0.944781 t=14618
dui 	堆	c=0 d=0.0965605 t=14618
dui 	对	c=43 d=7.56441 t=14618
dui ba 	对吧	c=1 d=0.960789 t=14618
dui bi 	对比	c=2 d=1.78272 t=14618
dui ci 	对此	c=1 d=0.767206 t=14618
dui de 	对的	c=1 d=0.88692 t=14618
dui fang 	对方	c=2 d=1.77404 t=14618
dui fen fa 	对分法	c=2 d=1.12655 t=14618
dui hua kuang 	对话框	c=1 d=0.882497 t=14618
dui huan ma 	兑换码	c=1 d=1 t=14618
dui ni 	对你	c=2 d=1.20985 t=14618
dui qi 	对其	c=1 d=0.932394 t=14618
dui ta 	对他	c=1 d=0.985112 t=14618
dui wo 	对我	c=1 d=0.543351 t=14618
dui ying 	对应	c=4 d=2.36383 t=14618
dui yu 	对于	c=8 d=2.99242 t=14618
dui zai 	堆在	c=1 d=0.904837 t=14618
duo 	多	c=17 d=5.14396 t=14618
duo chou shan gan 	多愁善感	c=1 d=0.726149 t=14618
duo chu 	多出	c=1 d=0.794534 t=14618
duo chu 	多处	c=1 d=0.640824 t=14618
duo da 	多大	c=1 d=0.687289 t=14618
duo de 	多的	c=1 d=0.22091 t=14618
duo ge 	多个	c=3 d=1.44594 t=14618
duo jia 	多加	c=1 d=0.882497 t=14618
duo jia 	多家	c=2 d=1.74763 t=14618
duo jiu 	多久	c=1 d=0.970446 t=14618
duo ke ai 	多可爱	c=1 d=0.726149 t=14618
duo le 	多了	c=3 d=0.824792 t=14618
duo me 	多么	c=1 d=0.913931 t=14618
duo mei ti 	多媒体	c=1 d=0.733447 t=14618
duo nian lai 	多年来	c=1 d=0.559898 t=14618
duo ping tai 	多平台	c=2 d=1.64927 t=14618
duo pu 	多谱	c=1 d=0.88692 t=14618
duo pu le 	多普勒	c=3 d=2.24761 t=14618
duo shao 	多少	c=10 d=7.09799 t=14618
duo shao ci 	多少次	c=1 d=0.946485 t=14618
duo shao ren 	多少人	c=1 d=0.873716 t=14618
duo shou 	剁手	c=1 d=1 t=14618
duo shuang 	多爽	c=1 d=0.97531 t=14618
duo xian 	多线	c=1 d=0.865022 t=14618
duo xian cheng 	多线程	c=1 d=0.985112 t=14618
e 	额	c=2 d=1.66901 t=14618
e du 	额度	c=3 d=2.35386 t=14618
e le 	饿了	c=2 d=1.61825 t=14618
en 	嗯	c=7 d=2.03587 t=14618
en en 	嗯嗯	c=3 d=1.86144 t=14618
en mu 	恩姆	c=2 d=0.754807 t=14618
er 	二	c=3 d=1.20381 t=14618
er 	而	c=7 d=3.99088 t=14618
er bu 	而不	c=1 d=0.985112 t=14618
er bu shi 	而不是	c=1 d=0.810584 t=14618
er deng jiang 	二等奖	c=1 d=0.349938 t=14618
er ji 	耳机	c=1 d=0.960789 t=14618
er lai 	而来	c=1 d=0.529935 t=14618
er qie 	而且	c=5 d=2.13021 t=14618
er quan 	二泉	c=0 d=0.0932394 t=14618
er shi 	而是	c=1 d=0.831104 t=14618
er wei 	二位	c=1 d=0.778801 t=14618
er xiao qiu 	而小球	c=1 d=0.637628 t=14618
er zhan 	二战	c=2 d=1.11671 t=14618
er zhe 	二者	c=7 d=4.16137 t=14618
fa 	法	c=8 d=3.00424 t=14618
fa da 	发达	c=1 d=0.865022 t=14618
fa de 	发的	c=0 d=0.097531 t=14618
fa guang 	发光	c=1 d=0.976153 t=14618
fa guang li zi 	发光粒子	c=1 d=0.852144 t=14618
fa hui 	发挥	c=1 d=0.946485 t=14618
fa hui zhe 	发挥着	c=1 d=0.71177 t=14618
fa she 	发射	c=2 d=0.806541 t=14618
fa sheng 	发生	c=1 d=0.869358 t=14618
fa wo 	发我	c=1 d=0.900325 t=14618
fa xian 	发现	c=4 d=2.08448 t=14618
fa xie 	发些	c=1 d=0.97531 t=14618
fa zhan 	发展	c=23 d=6.22995 t=14618
fa zhan lan tu 	发展蓝图	c=1 d=0.687289 t=14618
fan 	翻	c=1 d=0.704688 t=14618
fan 	饭	c=2 d=1.12555 t=14618
fan ben 	范本	c=5 d=3.0356 t=14618
fan hua 	繁华	c=1 d=0.900325 t=14618
fan kan 	翻看	c=1 d=0.937067 t=14618
fan kui 	反馈	c=1 d=0.794534 t=14618
fan nao 	烦恼	c=1 d=0.869358 t=14618
fan she 	反射	c=2 d=1.16845 t=14618
fan wai 	番外	c=0 d=0.0535261 t=14618
fan wai o 	番外哦	c=1 d=0.537944 t=14618
fan wu zhi 	反物质	c=1 d=0.489192 t=14618
fan xiang 	反向	c=1 d=0.913931 t=14618
fan xing 	反省	c=1 d=0.97531 t=14618
fan yi 	翻译	c=11 d=6.23767 t=14618
fan yi cheng 	翻译成	c=1 d=0.985112 t=14618
fan zheng 	反正	c=1 d=0.927743 t=14618
fan zheng qu 	反正去	c=1 d=0.918512 t=14618
fan zhi 	反之	c=1 d=0.470011 t=14618
fan zhuan 	反转	c=5 d=3.3179 t=14618
fan zuo bi 	反作弊	c=2 d=1.77492 t=14618
fang 	放	c=5 d=2.8253 t=14618
fang an 	方案	c=2 d=1.6705 t=14618
fang bian 	方便	c=1 d=0.71177 t=14618
fang cheng 	方程	c=6 d=2.55703 t=14618
fang cheng zu 	方程组	c=4 d=1.71471 t=14618
fang da 	放大	c=3 d=2.27325 t=14618
fang da tong 	方大同	c=1 d=0.941765 t=14618
fang dao 	放到	c=2 d=1.41935 t=14618
fang fa 	方法	c=15 d=5.51058 t=14618
fang jing dian 	防静电	c=1 d=0.960789 t=14618
fang kuai 	方块	c=1 d=0.970446 t=14618
fang kuai zi 	方块字	c=1 d=0.937067 t=14618
fang kuang 	方框	c=1 d=0.218712 t=14618
fang mian 	方面	c=4 d=2.63616 t=14618
fang qi 	放弃	c=2 d=1.17726 t=14618
fang ru 	放入	c=5 d=2.1924 t=14618
fang shi 	方式	c=4 d=2.86269 t=14618
fang song 	放松	c=0 d=0.0995012 t=14618
fang song yi xia 	放松一下	c=1 d=1 t=14618
fang ta 	方塔	c=0 d=0.0814647 t=14618
fang ta jie 	方塔街	c=1 d=0.818731 t=14618
fang wan 	放完	c=1 d=0.980199 t=14618
fang wen 	访问	c=2 d=1.79661 t=14618
fang xiang 	方向	c=10 d=3.91452 t=14618
fang xiang jian 	方向键	c=2 d=1.6996 t=14618
fang zai 	放在	c=3 d=1.74206 t=14618
fei 	费	c=1 d=0.852144 t=14618
fei 	非	c=3 d=2.02575 t=14618
fei chang 	非常	c=4 d=1.41062 t=14618
fei chang xi huan 	非常喜欢	c=1 d=0.927743 t=14618
fei jun yun 	非均匀	c=1 d=0.67368 t=14618
fei lie luo 	费列罗	c=1 d=0.637628 t=14618
fei ru ci 	非如此	c=1 d=0.951229 t=14618
fei wu 	废物	c=3 d=2.41418 t=14618
fei zhi 	废纸	c=0 d=0.0965605 t=14618
fei zhi dui 	废纸堆	c=1 d=0.970446 t=14618
fen 	分	c=5 d=2.36234 t=14618
fen bian lv 	分辨率	c=2 d=1.75839 t=14618
fen bie 	分别	c=5 d=2.27266 t=14618
fen bie shi 	分别是	c=1 d=0.529935 t=14618
fen bu 	分布	c=5 d=3.75258 t=14618
fen bu ji fen fa 	分部积分法	c=1 d=0.955997 t=14618
fen cheng 	分成	c=1 d=0.995012 t=14618
fen dou 	奋斗	c=2 d=0.974378 t=14618
fen ge 	分割	c=1 d=0.839457 t=14618
fen gei 	分给	c=1 d=0.960789 t=14618
fen hong se 	粉红色	c=2 d=1.82344 t=14618
fen jie mian 	分界面	c=1 d=0.802519 t=14618
fen juan 	分卷	c=1 d=0.865022 t=14618
fen juan ya suo 	分卷压缩	c=1 d=0.985112 t=14618
fen le 	分了	c=2 d=1.548 t=14618
fen lei 	分类	c=3 d=2.67482 t=14618
fen li 	分离	c=2 d=1.58324 t=14618
fen li bian liang 	分离变量	c=1 d=0.970446 t=14618
fen liang 	分量	c=4 d=2.6298 t=14618
fen pei 	分配	c=2 d=1.36023 t=14618
fen qiu 	分球	c=1 d=0.634448 t=14618
fen qu 	分区	c=6 d=3.73632 t=14618
fen shu 	分数	c=1 d=0.927743 t=14618
fen shu xian 	分数线	c=9 d=5.6051 t=14618
fen wei 	氛围	c=1 d=0.480406 t=14618
fen xi 	分析	c=9 d=3.02268 t=14618
fen xi ti 	分析题	c=2 d=1.82823 t=14618
fen zhi 	分支	c=1 d=0.88692 t=14618
fen zhong 	分钟	c=2 d=1.66812 t=14618
feng chuan 	枫川	c=1 d=0.97531 t=14618
feng fu 	丰富	c=1 d=0.621885 t=14618
feng ge 	风格	c=5 d=2.92352 t=14618
feng jing 	风景	c=1 d=0.71177 t=14618
feng shan 	风扇	c=2 d=1.76993 t=14618
feng wei 	风味	c=2 d=1.86537 t=14618
fo 	佛	c=1 d=0.697676 t=14618
fou ze 	否则	c=3 d=1.50861 t=14618
fu 	负	c=2 d=1.32138 t=14618
fu 	赋	c=1 d=0.683861 t=14618
fu bian han shu 	复变函数	c=1 d=0.99005 t=14618
fu cha 	复查	c=1 d=0.70822 t=14618
fu dong 	浮动	c=1 d=0.970446 t=14618
fu du 	幅度	c=1 d=0.946485 t=14618
fu gai 	覆盖	c=4 d=2.6364 t=14618
fu hao 	符号	c=4 d=2.92644 t=14618
fu hao 	负号	c=1 d=0.680451 t=14618
fu he 	符合	c=1 d=0.960789 t=14618
fu jian 	附件	c=3 d=2.16103 t=14618
fu jin 	附近	c=1 d=0.798516 t=14618
fu ke 	复刻	c=2 d=1.33455 t=14618
fu li 	福利	c=5 d=2.7812 t=14618
fu she 	辐射	c=3 d=2.68385 t=14618
fu she yuan 	辐射源	c=3 d=2.52387 t=14618
fu shi 	复试	c=3 d=2.09116 t=14618
fu shi xian 	复试线	c=2 d=1.93678 t=14618
fu shu 	复数	c=2 d=1.41485 t=14618
fu shu xian 	复数线	c=1 d=0.951229 t=14618
fu wu 	服务	c=8 d=6.12759 t=14618
fu wu qi 	服务器	c=2 d=1.98506 t=14618
fu xi 	复习	c=9 d=4.35039 t=14618
